epsilon,sample,theta_1,theta_2_log,summary_clean,summary_observed,summary_mds,npe_mean_baseline,npe_mean_mds,rmse_baseline,rmse_mds,gate_passed,lbfgs_evaluations,adapt_ms
0,34,0.916264414787,-0.594049692154,"[0.749178409576416, 0.009009703993797302, 0.9557992219924927]","[0.749178409576416, 0.009009703993797302, 0.9557992219924927]","[0.749178409576416, 0.009009703993797302, 0.9557992219924927]","[0.9170974493026733, -0.5910604596138]","[0.9170974493026733, -0.5910604596138]",0.00219424907118,0.00219424907118,True,0,19.870165037
0,35,0.469787478447,1.86543107033,"[6.987374782562256, 0.015358448028564453, 0.9773855209350586]","[6.987374782562256, 0.015358448028564453, 0.9773855209350586]","[6.987374782562256, 0.015358448028564453, 0.9773855209350586]","[0.46694135665893555, 1.8648743629455566]","[0.46694135665893555, 1.8648743629455566]",0.00205065007322,0.00205065007322,True,0,17.8259718232
0,36,1.1907106638,0.375519990921,"[1.5052490234375, 0.0017971278866752982, 0.823229968547821]","[1.5052490234375, 0.0017971278866752982, 0.823229968547821]","[1.5052490234375, 0.0017971278866752982, 0.823229968547821]","[1.22300386428833, 0.38137251138687134]","[1.22300386428833, 0.38137251138687134]",0.0232067089528,0.0232067089528,True,0,15.8839270007
0,37,1.38453388214,-0.295213699341,"[0.7636349201202393, 0.0012433509109541774, 0.7475478053092957]","[0.7636349201202393, 0.0012433509109541774, 0.7475478053092957]","[0.7636349201202393, 0.0012433509109541774, 0.7475478053092957]","[1.445878505706787, -0.29424741864204407]","[1.445878505706787, -0.29424741864204407]",0.0433825813234,0.0433825813234,True,0,16.8830368202
0,38,1.22229039669,1.36147546768,"[3.9306161403656006, 0.0013681144919246435, 0.781679093837738]","[3.9306161403656006, 0.0013681144919246435, 0.781679093837738]","[3.9306161403656006, 0.0013681144919246435, 0.781679093837738]","[1.2962881326675415, 1.363053321838379]","[1.2962881326675415, 1.363053321838379]",0.0523361936212,0.0523361936212,True,0,13.8949030079
0,39,1.28180956841,1.17743253708,"[3.2738828659057617, 0.0011121080024167895, 0.7353384494781494]","[3.2738828659057617, 0.0011121080024167895, 0.7353384494781494]","[3.2738828659057617, 0.0011121080024167895, 0.7353384494781494]","[1.452799677848816, 1.1817963123321533]","[1.452799677848816, 1.1817963123321533]",0.120947629213,0.120947629213,True,0,10.258641094
0,40,0.797395467758,-0.598965167999,"[0.8845452666282654, 0.01776689663529396, 0.9789921641349792]","[0.8845452666282654, 0.01776689663529396, 0.9789921641349792]","[0.8845452666282654, 0.01776689663529396, 0.9789921641349792]","[0.7940828800201416, -0.5964791774749756]","[0.7940828800201416, -0.5964791774749756]",0.00292859924957,0.00292859924957,True,0,15.0429350324
0,41,0.320232391357,-0.45787024498,"[3.2013394832611084, 0.14297087490558624, 0.997410774230957]","[3.2013394832611084, 0.14297087490558624, 0.997410774230957]","[3.2013394832611084, 0.14297087490558624, 0.997410774230957]","[0.3217005729675293, -0.4086976945400238]","[0.3217005729675293, -0.4086976945400238]",0.0347857400775,0.0347857400775,True,0,16.0632270854
0,42,0.974156022072,-0.987366914749,"[0.5292460918426514, 0.006330002099275589, 0.9453085064888]","[0.5292460918426514, 0.006330002099275589, 0.9453085064888]","[0.5292460918426514, 0.006330002099275589, 0.9453085064888]","[0.9716859459877014, -0.9758847951889038]","[0.9716859459877014, -0.9758847951889038]",0.00830482784659,0.00830482784659,True,0,15.0057389401
0,43,0.371503710747,-1.58665919304,"[2.3743410110473633, 0.13946306705474854, 0.9977156519889832]","[2.3743410110473633, 0.13946306705474854, 0.9977156519889832]","[2.3743410110473633, 0.13946306705474854, 0.9977156519889832]","[0.37128549814224243, -1.5809731483459473]","[0.37128549814224243, -1.5809731483459473]",0.00402360036969,0.00402360036969,True,0,17.2707899474
