epsilon,seed,n_obs,n_outliers,shift,s_observed,s_mds_rff,s_mds_exact,s_sample_median,s_oracle_clean,posterior_mean_baseline,posterior_mean_mds_rff,posterior_mean_mds_exact,posterior_mean_median,posterior_mean_oracle,sq_error_baseline,sq_error_mds_rff,sq_error_mds_exact,sq_error_median,abs_error_baseline,abs_error_mds_rff,rff_exact_abs_summary_gap,gate_passed,lbfgs_evaluations,objective_initial,objective_final,objective_reduction,adapt_ms
0.2,1003,100,20,8,1.44210889785,-0.0477416142821,-0.0755708157674,0.186201269152,-0.0941120946026,1.43851261631,-0.0476225578874,-0.0753823598677,0.185736926835,-0.0938774010999,2.06931854728,0.00226790801974,0.00568250017922,0.03449820599,1.43851261631,0.0476225578874,0.0278292014852,False,6,0.269824594259,0.0696012526751,0.200223341584,7.15739303268
0.2,1004,100,20,8,1.52325448912,0.0318498164415,0.036163945817,0.365662068001,0.0388939684311,1.51945584949,0.0317703904654,0.0360737614134,0.36475019252,0.0387969759911,2.30874607856,0.00100935771032,0.00130131626251,0.133042702943,1.51945584949,0.0317703904654,0.00431412937544,False,6,0.250529617071,0.0655147582293,0.185014858842,7.76590919122
0.2,1005,100,20,8,1.5488378362,-0.019688308239,-0.0442393511978,0.240276029933,-0.124180450795,1.5449753977,-0.0196392102134,-0.0441290286262,0.239676837838,-0.123870773861,2.38694897951,0.000385698577808,0.00194737116749,0.0574449865961,1.5449753977,0.0196392102134,0.0245510429588,False,6,0.290609806776,0.0685651302338,0.222044676542,7.0966440253
0.2,1006,100,20,8,1.42924130432,-0.130529135466,-0.154297049783,-0.0660269779451,-0.102734346755,1.42567711154,-0.1302036264,-0.15391226911,-0.0658623221397,-0.102478151377,2.03255522638,0.0169529843276,0.0236889865826,0.00433784547764,1.42567711154,0.1302036264,0.0237679143173,False,4,0.285347998142,0.0650116354227,0.22033636272,6.15701498464
0.2,1007,100,20,8,1.61997528743,0.0629147291183,0.0814486383942,0.247623294949,0.0845361077177,1.61593544881,0.062757834532,0.0812455245827,0.247005780497,0.0843252944815,2.61124737471,0.00393854579515,0.00660083526472,0.0610118555991,1.61593544881,0.062757834532,0.0185339092758,False,7,0.261474192142,0.0712809562683,0.190193235874,8.27787979506
0.2,1008,100,20,8,1.39712011905,-0.264351010323,-0.311206993393,0.0564629177647,-0.287408267639,1.39363602897,-0.26369178087,-0.310430916103,0.0563221124835,-0.286691538792,1.94222138126,0.0695333552986,0.0963673536723,0.00317218035461,1.39363602897,0.26369178087,0.0468559830703,False,7,0.316856056452,0.0699418410659,0.246914215386,8.55009513907
0.2,1009,100,20,8,1.62288787449,-0.0899728015065,-0.103931975002,0.243444138945,-0.0268363697608,1.61884077256,-0.0897484304304,-0.103672793019,0.242837046329,-0.0267694461454,2.62064544689,0.00805478076473,0.0107480480124,0.0589698310698,1.61884077256,0.0897484304304,0.0139591734952,False,5,0.312835663557,0.076789572835,0.236046090722,6.04244088754
0.2,1010,100,20,8,1.57609958781,-0.0276550352573,-0.0604577928516,0.229086913073,-0.0755612769916,1.5721691649,-0.0275860700821,-0.0603070252883,0.228515624013,-0.0753728448794,2.47171588307,0.000760991262576,0.00363693729913,0.0522193904181,1.5721691649,0.0275860700821,0.0328027575942,False,6,0.300535261631,0.0682660788298,0.232269182801,7.17910798267
0.2,1011,100,20,8,1.55775722847,0.00359785556793,-0.0104137506055,0.154520350416,0.000559724260032,1.5538725471,0.00358888335953,-0.0103877811526,0.154135012884,0.000558328438934,2.41451989264,1.28800837683e-05,0.000107905997275,0.0237576021967,1.5538725471,0.00358888335953,0.0140116061734,False,6,0.275166481733,0.0688587576151,0.206307724118,6.73589087091
0.2,1012,100,20,8,1.60713600203,-0.0288423672318,-0.0595972483595,0.15304775933,-0.0939967938968,1.60312818158,-0.028770441129,-0.0594486267925,0.152666094095,-0.093762387927,2.57001996656,0.000827738282759,0.00353413922751,0.0233069362863,1.60312818158,0.028770441129,0.0307548811276,False,6,0.305965065956,0.0663717985153,0.239593267441,7.27054802701
0.2,1013,100,20,8,1.70083342311,0.0554300993681,0.0629124746159,0.306735031869,-0.00569587740714,1.69659194325,0.0552918696939,0.0627555856518,0.305970106602,-0.00568167322408,2.87842422191,0.00305719085424,0.0039382635305,0.093617706134,1.69659194325,0.0552918696939,0.00748237524784,False,5,0.304459363222,0.0686047226191,0.235854640603,6.14959700033
0.2,1014,100,20,8,1.5569936127,0.0825402140617,0.118624544195,0.38776557156,0.0431385330731,1.55311083561,0.0823343781164,0.11832872239,0.386798575122,0.0430309556839,2.41215326768,0.00677894981982,0.0140016865423,0.149613137716,1.55311083561,0.0823343781164,0.0360843301337,False,7,0.241169720888,0.0726518929005,0.168517827988,8.62900982611
0.2,1015,100,20,8,1.59047716265,0.0305351912975,0.0393313147428,0.316498357245,-0.00876392921211,1.58651088543,0.0304590436883,0.0392332316637,0.315709084534,-0.00874207402704,2.5170167896,0.000927753342406,0.00153924646678,0.0996722260571,1.58651088543,0.0304590436883,0.00879612344531,False,6,0.273810446262,0.0684229284525,0.20538751781,7.87401897833
0.2,1016,100,20,8,1.61887908373,0.211594566703,0.163877053931,0.662501922609,0.128038873134,1.61484197878,0.211066899454,0.163468382974,0.660849798114,0.127719574198,2.60771461645,0.0445492360452,0.0267219122321,0.436722455667,1.61484197878,0.211066899454,0.0477175127716,False,5,0.246509715915,0.0768062770367,0.169703438878,6.20891293511
0.2,1017,100,20,8,1.75364642312,0.136400058866,0.149466408869,0.432620734399,0.0381676542994,1.74927324002,0.136059909093,0.149093674682,0.4315418797,0.0380724731166,3.05995686826,0.0185122988623,0.0222289238302,0.186228393935,1.74927324002,0.136059909093,0.0130663500033,False,4,0.294854938984,0.0664898976684,0.228365041316,6.4220118802
0.2,1018,100,20,8,1.60236937434,0.00113166123629,-0.00836197516971,0.201536953314,0.0120110240956,1.59837344073,0.00112883913844,-0.0083411223638,0.201034367396,0.0119810714171,2.55479765604,1.27427780047e-06,6.95743222879e-05,0.0404148168743,1.59837344073,0.00112883913844,0.00949363640599,False,6,0.290549367666,0.0692438855767,0.22130548209,6.90591800958
0.2,1019,100,20,8,1.6680012273,0.0810546576977,0.101022966378,0.48649191628,0.0762303373149,1.66384162324,0.0808525263817,0.100771038781,0.485278719481,0.0760402367231,2.76836894724,0.00653713102231,0.0101548022569,0.235495435582,1.66384162324,0.0808525263817,0.01996830868,False,7,0.273476630449,0.074557825923,0.198918804526,8.39871703647
0.2,1020,100,20,8,1.69597030191,0.0329256951809,0.0227438672181,0.320558660329,-0.0132544615714,1.69174094953,0.0328435862154,0.0226871493447,0.319759262174,-0.0132214080513,2.86198744033,0.00107870115549,0.00051470674539,0.102245985746,1.69174094953,0.0328435862154,0.0101818279628,False,5,0.30021199584,0.0747726783156,0.225439317524,6.22898805887
0.2,1021,100,20,8,1.92795857158,0.418048679829,0.362794008889,0.629818052595,0.133818012471,1.92315069485,0.417006164418,0.361889285675,0.62824743401,0.133484301716,3.69850859509,0.173894141162,0.130963855086,0.39469483834,1.92315069485,0.417006164418,0.0552546709397,False,4,0.275467187166,0.0769918262959,0.19847536087,6.21078093536
0.2,1022,100,20,8,1.63407909043,0.0359172075987,0.0279517430705,0.308729327889,-0.0275130294546,1.63000408023,0.0358276385024,0.0278820379756,0.307959429316,-0.0274444184086,2.65691330156,0.00128361968066,0.000777408041673,0.0948390101045,1.63000408023,0.0358276385024,0.00796546452815,False,6,0.281434327364,0.0685924515128,0.212841875851,7.03162210993
0.2,1023,100,20,8,1.49048410107,-0.0351006090641,-0.0667556387548,0.356416046028,-0.0873254180753,1.48676718311,-0.0350130763732,-0.0665891658402,0.355527227958,-0.0871076489529,2.21047665677,0.00122591551711,0.0044341170073,0.126399609819,1.48676718311,0.0350130763732,0.0316550296907,False,6,0.267834991217,0.0698154643178,0.198019526899,7.92380003259
