epsilon,outlier_y,mds_summary,posterior_kl,kl_over_epsilon
0.01,-0.2,-0.0036094272686,0.000649773825801,0.0649773825801
0.01,-0.1,-0.00181755636109,0.000164763647169,0.0164763647169
0.01,0,-1.08036870716e-08,5.82142914421e-15,5.82142914421e-13
0.01,0.1,0.00181757607741,0.000164767221804,0.0164767221804
0.01,0.2,0.00360940667061,0.000649766409668,0.0649766409668
0.01,0.3,0.0053503553279,0.00142774574238,0.142774574238
0.01,0.4,0.00701636211649,0.00245532854612,0.245532854612
0.01,0.5,0.00858491783779,0.00367585108636,0.367585108636
0.01,0.6,0.0100356451417,0.00502315079348,0.502315079348
0.01,0.7,0.011350616007,0.00642575978749,0.642575978749
0.01,0.8,0.0125148317939,0.00781152193663,0.781152193663
0.01,0.9,0.0135164572556,0.00911195095975,0.911195095975
0.01,1,0.0143469668086,0.0102661075614,1.02661075614
0.01,1.1,0.0150014018085,0.0112240427042,1.12240427042
0.01,1.2,0.0154783007987,0.0119490172377,1.19490172377
0.01,1.3,0.0157796472009,0.0124188162486,1.24188162486
0.01,1.4,0.0159106845326,0.0126259292916,1.26259292916
0.01,1.5,0.0158797286083,0.0125768469164,1.25768469164
0.01,1.6,0.015697706606,0.0122901741989,1.22901741989
0.01,1.7,0.0153778153005,0.0117943742352,1.17943742352
0.01,1.8,0.0149350550774,0.0111249810557,1.11249810557
0.01,1.9,0.0143856939672,0.0103216055321,1.03216055321
0.01,2,0.0137468940808,0.00942529161446,0.942529161446
0.01,2.1,0.0130360300187,0.00847571464583,0.847571464583
0.01,2.2,0.0122703145872,0.00750925785881,0.750925785881
0.01,2.3,0.0114663837402,0.00655750404381,0.655750404381
0.01,2.4,0.0106399619706,0.00564632372752,0.564632372752
0.01,2.5,0.00980551012397,0.0047954129073,0.47954129073
0.01,2.6,0.00897594229001,0.00401833117175,0.401833117175
0.01,2.7,0.00816266452312,0.003323146739,0.3323146739
0.01,2.8,0.00737529503493,0.00271296642655,0.271296642655
0.01,2.9,0.00662172710599,0.00218689625268,0.218689625268
0.01,3,0.00590814865918,0.00174095863237,0.174095863237
0.01,3.1,0.0052391923761,0.00136903425206,0.136903425206
0.01,3.2,0.00461783318982,0.00106356026778,0.106356026778
0.01,3.3,0.00404589828897,0.00081642358926,0.081642358926
0.01,3.4,0.00352387306023,0.000619335727912,0.0619335727912
0.01,3.5,0.00305128369524,0.00046435572014,0.046435572014
0.01,3.6,0.00262679334151,0.00034414180843,0.034414180843
0.01,3.7,0.00224839595312,0.000252133883392,0.0252133883392
0.01,3.8,0.00191357567475,0.000182632013117,0.0182632013117
0.01,3.9,0.00161939293403,0.000130794687022,0.0130794687022
0.01,4,0.00136278349467,9.26273742313e-05,0.00926273742313
0.01,4.1,0.00114040021458,6.48634737864e-05,0.00648634737864
0.01,4.2,0.000949029300282,4.49205293164e-05,0.00449205293164
0.01,4.3,0.000785412541345,3.07667261896e-05,0.00307667261896
0.01,4.4,0.000646434426639,2.08417689748e-05,0.00208417689748
0.01,4.5,0.000529134365169,1.39642481997e-05,0.00139642481997
0.01,4.6,0.000430755965561,9.25439909558e-06,0.000925439909558
0.01,4.7,0.000348765574512,6.06670453688e-06,0.000606670453688
0.01,4.8,0.000280860909384,3.93430675412e-06,0.000393430675412
0.01,4.9,0.000224939823466,2.52358724094e-06,0.000252358724094
0.01,5,0.00017918507702,1.60136118836e-06,0.000160136118836
0.01,5.1,0.000141976675468,1.00535543027e-06,0.000100535543027
0.01,5.2,0.000111890123538,6.24408964854e-07,6.24408964854e-05
0.01,5.3,8.77078019043e-05,3.83673741391e-07,3.83673741391e-05
0.01,5.4,6.838535011e-05,2.33244693749e-07,2.33244693749e-05
0.01,5.5,5.30346687948e-05,1.40283096966e-07,1.40283096966e-05
0.01,5.6,4.09001327513e-05,8.34324617992e-08,8.34324617992e-06
0.01,5.7,3.13992904104e-05,4.91728398144e-08,4.91728398144e-06
0.01,5.8,2.3948517814e-05,2.86050626177e-08,2.86050626177e-06
0.01,5.9,1.81940736681e-05,1.65099409796e-08,1.65099409796e-06
0.01,6,1.37408523776e-05,9.41700868145e-09,9.41700868145e-07
0.01,6.1,1.03064740189e-05,5.29792552127e-09,5.29792552127e-07
0.01,6.2,7.71494966222e-06,2.96860091225e-09,2.96860091225e-07
