epsilon,seed,s_observed,s_mds_rff,adapt_ms,theta_true,npe_mean_baseline,npe_mean_mds,abs_error_baseline,abs_error_mds
0.1,1043,0.734307189889,-0.0391982793808,6.91070803441,0,0.72668248415,-0.0429834909737,0.72668248415,0.0429834909737
0.1,1044,0.887159111301,0.0922010242939,6.81458995678,0,0.879140138626,0.0874384492636,0.879140138626,0.0874384492636
0.1,1045,0.857930504233,0.0802647173405,7.48253893107,0,0.849984645844,0.075584821403,0.849984645844,0.075584821403
0.1,1046,0.696169507531,-0.0471297502518,3.44924186356,0,0.6886510849,-0.0508510097861,0.6886510849,0.0508510097861
0.1,1047,0.647430794983,-0.150587007403,4.44390089251,0,0.64005446434,-0.153427675366,0.64005446434,0.153427675366
0.1,1048,0.810245880542,0.005220875144,6.95295399055,0,0.802420854568,0.0010884788353,0.802420854568,0.0010884788353
0.1,1049,0.962777127801,0.21157579124,4.47731488384,0,0.954570114613,0.206055432558,0.954570114613,0.206055432558
0.2,1000,1.63463684552,0.133249148726,5.26177301072,0,1.62415409088,0.128212168813,1.62415409088,0.128212168813
0.2,1001,1.70838665184,0.0903541743755,10.7446748298,0,1.69755411148,0.0856044739485,1.69755411148,0.0856044739485
0.2,1002,1.49009314813,-0.0196917951107,7.0658789482,0,1.48023974895,-0.0236315131187,1.48023974895,0.0236315131187
0.2,1003,1.44210889785,-0.0477416142821,7.15739303268,0,1.43244600296,-0.0514579229057,1.43244600296,0.0514579229057
0.2,1004,1.52325448912,0.0318498164415,7.76590919122,0,1.5132638216,0.0275176521391,1.5132638216,0.0275176521391
0.2,1005,1.5488378362,-0.019688308239,7.0966440253,0,1.53873848915,-0.023627974093,1.53873848915,0.023627974093
0.2,1006,1.42924130432,-0.130529135466,6.15701498464,0,1.41962790489,-0.133547514677,1.41962790489,0.133547514677
0.2,1007,1.61997528743,0.0629147291183,8.27787979506,0,1.60956001282,0.0583570227027,1.60956001282,0.0583570227027
0.2,1008,1.39712011905,-0.264351010323,8.55009513907,0,1.387627244,-0.266125977039,1.387627244,0.266125977039
0.2,1009,1.62288787449,-0.0899728015065,6.04244088754,0,1.61245942116,-0.0933402478695,1.61245942116,0.0933402478695
0.2,1010,1.57609958781,-0.0276550352573,7.17910798267,0,1.56588149071,-0.0315320454538,1.56588149071,0.0315320454538
0.2,1011,1.55775722847,0.00359785556793,6.73589087091,0,1.5476193428,-0.00052205187967,1.5476193428,0.00052205187967
0.2,1012,1.60713600203,-0.0288423672318,7.27054802701,0,1.59677910805,-0.0327097959816,1.59677910805,0.0327097959816
0.2,1013,1.70083342311,0.0554300993681,6.14959700033,0,1.69003760815,0.0509258247912,1.69003760815,0.0509258247912
0.2,1014,1.5569936127,0.0825402140617,8.62900982611,0,1.54685890675,0.0778444707394,1.54685890675,0.0778444707394
0.2,1015,1.59047716265,0.0305351912975,7.87401897833,0,1.58019518852,0.0262125264853,1.58019518852,0.0262125264853
0.2,1016,1.61887908373,0.211594566703,6.20891293511,0,1.60846889019,0.206074073911,1.60846889019,0.206074073911
0.2,1017,1.75364642312,0.136400058866,6.4220118802,0,1.7425917387,0.131342694163,1.7425917387,0.131342694163
0.2,1018,1.60236937434,0.00113166123629,6.90591800958,0,1.5920342207,-0.00296944705769,1.5920342207,0.00296944705769
0.2,1019,1.6680012273,0.0810546576977,8.39871703647,0,1.65736246109,0.0763691365719,1.65736246109,0.0763691365719
0.2,1020,1.69597030191,0.0329256951809,6.22898805887,0,1.68519771099,0.0285854209214,1.68519771099,0.0285854209214
0.2,1021,1.92795857158,0.418048679829,6.21078093536,0,1.91601240635,0.411492586136,1.91601240635,0.411492586136
0.2,1022,1.63407909043,0.0359172075987,7.03162210993,0,1.62359905243,0.0315549634397,1.62359905243,0.0315549634397
0.2,1023,1.49048410107,-0.0351006090641,7.92380003259,0,1.48062908649,-0.0389183983207,1.48062908649,0.0389183983207
0.2,1024,1.55301799666,-0.0221553444862,7.12978397496,0,1.54290056229,-0.0260756965727,1.54290056229,0.0260756965727
0.2,1025,1.54040435301,-0.0535120740533,6.20855600573,0,1.53034102917,-0.0571815781295,1.53034102917,0.0571815781295
0.2,1026,1.59178845748,-0.0443076193333,5.1728261169,0,1.58150053024,-0.0480515807867,1.58150053024,0.0480515807867
0.2,1027,1.72529139285,0.23660095036,8.54612304829,0,1.71437680721,0.230937123299,1.71437680721,0.230937123299
0.2,1028,1.50427078292,-0.157570928335,7.75915407576,0,1.49435949326,-0.160349071026,1.49435949326,0.160349071026
0.2,1029,1.73671381992,0.0507501959801,6.27089012414,0,1.72574293613,0.046279899776,1.72574293613,0.046279899776
0.2,1030,1.62638305035,0.0472956001759,8.2665940281,0,1.61593878269,0.0428501516581,1.61593878269,0.0428501516581
0.2,1031,1.52527991316,-0.0443146303296,6.05171290226,0,1.51528096199,-0.0480586588383,1.51528096199,0.0480586588383
0.2,1032,1.53684818123,-0.0138717740774,7.94838299043,0,1.52680003643,-0.0178569722921,1.52680003643,0.0178569722921
0.2,1033,1.47374857879,-0.126214832067,8.09564604424,0,1.46396100521,-0.12927082181,1.46396100521,0.12927082181
0.2,1034,1.73934767568,0.134242191911,7.01491883956,0,1.72836387157,0.129198819399,1.72836387157,0.129198819399
0.2,1035,1.56035014122,7.18832015991e-05,10.9975750092,0,1.55020093918,-0.00402097729966,1.55020093918,0.00402097729966
0.2,1036,1.79433878472,0.229777500033,5.36772306077,0,1.78307974339,0.224152311683,1.78307974339,0.224152311683
0.2,1037,1.83677674646,0.270078480244,8.63385992125,0,1.82530140877,0.264230787754,1.82530140877,0.264230787754
0.2,1038,1.64769170684,0.0690743625164,9.2337639071,0,1.63714849949,0.0644730478525,1.63714849949,0.0644730478525
0.2,1039,1.68726586565,0.0556736141443,6.40635495074,0,1.67653548717,0.0511676445603,1.67653548717,0.0511676445603
0.2,1040,1.6741809744,0.0350578278303,7.24585913122,0,1.66351294518,0.0307020433247,1.66351294518,0.0307020433247
0.2,1041,1.77596132663,0.143190905452,5.36079308949,0,1.76479518414,0.138089507818,1.76479518414,0.138089507818
0.2,1042,1.41230014138,-0.148418322206,6.95221195929,0,1.40275073051,-0.151278555393,1.40275073051,0.151278555393
0.2,1043,1.53506822581,-0.0534412413836,5.46563696116,0,1.52502799034,-0.057111389935,1.52502799034,0.057111389935
0.2,1044,1.65037200393,0.0598122477531,6.19516801089,0,1.63981628418,0.0552766919136,1.63981628418,0.0552766919136
0.2,1045,1.5314555964,0.00414847582579,7.99797917716,0,1.52143061161,2.4308625143e-05,1.52143061161,2.4308625143e-05
0.2,1046,1.5089797764,-0.0378211140633,20.8700641524,0,1.49904894829,-0.0416172482073,1.49904894829,0.0416172482073
0.2,1047,1.46232602071,-0.148012340069,15.1560108643,0,1.45258426666,-0.150876134634,1.45258426666,0.150876134634
0.2,1048,1.65506180939,0.063707947731,13.9333810657,0,1.64448392391,0.0591446682811,1.64448392391,0.0591446682811
0.2,1049,1.82535347146,0.226997479796,16.1075189244,0,1.81393694878,0.221388220787,1.81393694878,0.221388220787
